school_name,composite_score,equity_rank,excellence_rank,efficiency_rank,Enrollment,equity_score_lmodel,excellence_score_lmodel,efficiency_score_lmodel,composite_score_lmodel,equity_score_pmodel,excellence_score_pmodel,efficiency_score_pmodel,composite_score_pmodel
King Jr. (Martin Luther) Academic Middle,28.87,67,3,47,371,53.12328000740657,1.883046173388244,40.06425527476708,37.04846536574212,61.548097032174596,0.539640227418855,6.925777904176219,32.640403048986066
Taylor (Edward R.) Elementary,24.47,53,38,5,565,42.02289314018729,23.85191819625109,4.262154816464583,28.039964823272566,46.327762798926145,23.670472577715962,0.002507738893595836,29.082126478615464
Visitacion Valley Elementary,23.23,58,16,13,237,45.98731702133703,10.042912924737301,11.081602522807914,28.27478737255482,51.6762520995373,6.5277361594842205,0.07357257985939368,27.488453234604552
El Dorado Elementary,20.32,45,4,44,128,35.679814930347696,2.5107282311843253,37.506962384888325,27.844330119192012,37.994211100011626,0.8282569828201799,5.484955778146262,20.575408740247422
Hillcrest Elementary,16.0,43,8,18,319,34.0940453778878,5.021456462368651,15.343757339272496,22.138326139354188,35.95745880463257,2.325218926488555,0.23253365049086525,18.618167546561143
Lowell High,90.97,60,88,100,2593,47.57308657379692,55.23602108605515,85.24309632929165,58.906322640735155,53.843661129272434,82.66519537643373,100.0,72.58812940874465
Ortega (Jose) Elementary,44.27,42,57,86,406,33.30116060165785,35.777877294376644,73.30906284319082,43.92231533522079,34.94653060083861,43.29571165834615,58.664131740463674,42.963226150121756
Lakeshore Alternative Elementary,29.27,23,59,74,416,18.23634985328882,37.033241409968795,63.07989128367581,34.14645810005556,16.844497543403133,45.57735370749892,34.4806669811138,28.436753943854747
Roosevelt Middle,74.97,78,78,96,659,61.84501254593601,48.95920050809435,81.83337247611998,63.62064951902158,73.99903974865603,69.07255729168583,86.55802214716827,75.90716473404154
Sutro Elementary,29.87,18,77,58,253,14.271925972139076,48.33151845029826,49.44099587098915,31.57909156639139,12.51530753013013,67.75793316971921,14.569051151588994,26.839399845392116
McCoppin (Frank) Elementary,19.41,1,86,90,260,0.7928847762299488,53.980656970462995,76.71878669636249,33.07130330482134,0.3768231996790551,79.88293869366058,68.89565284089227,37.38305948347774
Peabody (George) Elementary,15.6,2,100,30,268,1.5857695524598976,62.76820577960813,25.572928898787495,22.878168445828855,0.872901564447511,100.0,1.4157611356422917,25.790391066134326
Academy (The)- SF @McAteer,53.99,96,25,57,126,76.11693851807509,15.692051444902033,48.58856490769624,54.128623347187116,95.1730428020497,12.6882729721972,13.700038020256194,54.183599149138196
Clarendon Alternative Elementary,49.1,27,93,93,536,21.407888958208616,58.37443137503556,79.27607958624124,45.1165722194235,20.457474273430677,89.75616674655204,77.36580152708625,52.00922920512491
Huerta (Dolores) Elementary,48.75,47,69,76,421,37.2655844828076,43.310061987929615,64.78475321026164,45.65649604095161,40.05024423818567,57.5455117845911,37.890611392513854,43.88415291336907
Asawa (Ruth) SF Sch of the Arts A Public School,39.55,51,32,87,680,40.43712358772739,20.085825849474602,74.16149380648373,43.78039170785328,44.21760109444039,18.325732206294916,61.11210800743392,41.9682606006524
Mission Education Center,33.02,37,28,83,78,29.336736720508107,17.57509761829028,70.75176995331208,36.750085253154644,29.97023887061485,15.020998044774364,51.74197378050794,31.675862391628
Glen Park Elementary,26.56,35,30,54,346,27.750967168048213,18.83046173388244,46.03127201781749,30.09091702194909,28.018304147353184,16.646406929106234,11.315862015647117,20.99971930986493
Mission High,54.86,93,33,59,1032,73.73828418938524,20.713507907270685,50.29342683428207,54.62087578008081,91.58060379825167,19.185060092354426,15.476906851818953,54.45579363516919
Alvarado Elementary,34.51,32,79,31,536,25.37231283935836,49.58688256589043,26.425359862080413,31.68921702667189,25.13482278523711,70.39545282255443,1.5898172165204092,30.563728902387265
Sanchez Elementary,32.94,59,37,21,273,46.78020179756698,23.22423613845501,17.901050229151245,33.67142249068505,52.75801017062827,22.74882744671519,0.4010733820199499,32.166480292497916
McKinley Elementary,30.77,16,89,52,294,12.68615641967918,55.86370314385124,44.32641009123166,31.390606518610312,10.850460958096491,84.06801218440827,9.902108009161566,28.917760527440706
Lick (James) Middle,29.82,66,9,37,489,52.33039523117662,5.6491385201647315,31.539945641837907,35.462468656088966,60.43655047368935,2.771028636493961,2.972143821369946,31.654068351310652
Rooftop Elementary,25.11,25,62,26,577,19.82211940574872,38.91628758335704,22.16320504561583,25.180932860117576,18.635657589605913,49.071162068440245,0.853535958399165,21.79900330151281
Milk (Harvey) Civil Rights Elementary,21.5,9,73,71,133,7.135962986069538,45.82079021911394,60.52259839379707,30.15382864626252,5.402737743351349,62.58326120795853,29.786399535614105,25.793784057568832
Everett Middle,15.2,79,1,4,404,62.637897322165955,0.6276820577960813,3.409723853171666,32.328300138824915,75.15036245977123,0.10509150689150891,0.0011391685316996783,37.60173889874142
Lilienthal (Claire) Elementary,40.88,31,87,61,674,24.57942806312841,54.60833902825908,51.99828876086791,38.94137097884595,24.186073905630074,81.27015570151494,17.41328945906722,36.76389824296057
Marina Middle,35.98,65,17,49,666,51.53751045494668,10.670594982533384,41.769117201352906,38.87868327344491,59.328567575751535,7.144503847409596,8.025418853346855,33.45676446306488
Sherman Elementary,13.85,15,64,14,293,11.89327164344923,40.171651698949205,11.934033486100832,18.973057117987125,10.034120321758946,51.44700286467613,0.09561539944717096,17.902714726910297
